"id","product_id","year","pci","pci_rank","world_trade"
1,1,1995,-0.109275,686,1111880000
2,2,1995,0.207064,527,5275550000
3,3,1995,0.368479,457,1625930000
4,4,1995,-0.617393,904,962486000
5,5,1995,-0.0728174,668,970801000
6,6,1995,-1.38097,1128,438811000
7,7,1995,0.0364139,601,9967620000
8,8,1995,-0.610792,899,5798570000
9,9,1995,0.831152,267,10940400000
10,10,1995,-0.19026,722,2256570000
11,11,1995,-0.115234,690,406236000
12,12,1995,0.195438,534,1824470000
13,13,1995,0.0680325,585,8094360000
14,14,1995,-0.279256,762,673172000
15,15,1995,0.559931,376,143465000
16,16,1995,0.589519,364,1672540000
17,17,1995,-1.339,1115,1260260000
18,18,1995,-1.15382,1069,6070340000
19,19,1995,-1.54146,1163,9115720000
20,20,1995,-1.30545,1105,6157780000
