id,country_id,year,eci,eci_rank,oppvalue,population,gdp,gni_pc,magic,pc_constant,pc_current,notpc_constant
1,1,1960,,,,54208,,,.0001075,.0001075,.0000184,5.829455
2,3,1960,,,,8774440,,,6.64e-07,6.64e-07,1.14e-07,5.829455
3,4,1960,,,,4965988,,,1.17e-06,1.17e-06,2.01e-07,5.829455
4,5,1960,,,,1618829,,,3.60e-06,3.60e-06,6.18e-07,5.829455
5,7,1960,,,,89608,,,.0000651,.0000651,.0000112,5.829455
6,8,1960,,,,20623998,6.327e+10,3151.919,2.83e-07,2.83e-07,4.85e-08,5.829455
7,9,1960,,,,1867396,,,3.12e-06,3.12e-06,5.36e-07,5.829455
8,10,1960,,,,20012,,,.0002913,.0002913,.00005,5.829455
9,11,1960,,,,54681,,,.0001066,.0001066,.0000183,5.829455
10,12,1960,,,,10276477,1.374e+11,13377.5,5.67e-07,5.67e-07,9.73e-08,5.829455
11,13,1960,,,,7047539,7.655e+10,10786.06,8.27e-07,8.27e-07,1.42e-07,5.829455
12,14,1960,,,,3897889,,,1.50e-06,1.50e-06,2.57e-07,5.829455
13,15,1960,,,,2786740,4.097e+08,,2.09e-06,2.09e-06,3.59e-07,5.829455
14,16,1960,,,,9153489,1.022e+11,11313.81,6.37e-07,6.37e-07,1.09e-07,5.829455
15,17,1960,,,,2431620,9.554e+08,391.5169,2.40e-06,2.40e-06,4.11e-07,5.829455
16,18,1960,,,,4829291,9.101e+08,,1.21e-06,1.21e-06,2.07e-07,5.829455
17,19,1960,,,,49537147,1.254e+10,,1.18e-07,1.18e-07,2.02e-08,5.829455
18,20,1960,,,,7867374,,,7.41e-07,7.41e-07,1.27e-07,5.829455
19,21,1960,,,,162501,,,.0000359,.0000359,6.15e-06,5.829455
20,22,1960,,,,109526,1.466e+09,,.0000532,.0000532,9.13e-06,5.829455
21,23,1960,,,,3305501,,,1.76e-06,1.76e-06,3.03e-07,5.829455
22,24,1960,,,,8198000,,,7.11e-07,7.11e-07,1.22e-07,5.829455
23,25,1960,,,,92068,89096949,,.0000633,.0000633,.0000109,5.829455
24,26,1960,,,,44400,1.070e+09,,.0001313,.0001313,.0000225,5.829455
25,27,1960,,,,3353125,2.932e+09,,1.74e-06,1.74e-06,2.98e-07,5.829455
26,28,1960,,,,72775883,1.257e+11,1726.766,8.01e-08,8.01e-08,1.37e-08,5.829455
27,29,1960,,,,230858,1.130e+09,,.0000253,.0000253,4.33e-06,5.829455
28,30,1960,,,,81817,,,.0000712,.0000712,.0000122,5.829455
29,31,1960,,,,224155,,,.000026,.000026,4.46e-06,5.829455
30,32,1960,,,,524173,1.990e+08,,.0000111,.0000111,1.91e-06,5.829455
31,33,1960,,,,1503501,7.212e+08,,3.88e-06,3.88e-06,6.65e-07,5.829455
32,34,1960,,,,17909009,2.316e+11,12736.59,3.26e-07,3.26e-07,5.58e-08,5.829455
33,35,1960,,,,5327827,,,1.09e-06,1.09e-06,1.88e-07,5.829455
34,36,1960,,,,109419,,,.0000533,.0000533,9.14e-06,5.829455
35,37,1960,,,,7649026,1.896e+10,2333.382,7.62e-07,7.62e-07,1.31e-07,5.829455
36,38,1960,,,,6.671e+08,8.318e+10,,8.74e-09,8.74e-09,1.50e-09,5.829455
37,39,1960,,,,3474724,3.147e+09,914.8991,1.68e-06,1.68e-06,2.88e-07,5.829455
38,40,1960,,,,5361367,3.779e+09,,1.09e-06,1.09e-06,1.87e-07,5.829455
39,41,1960,,,,1013581,9.700e+08,1212.92,5.75e-06,5.75e-06,9.87e-07,5.829455
40,42,1960,,,,16006395,2.324e+10,1444.297,3.64e-07,3.64e-07,6.25e-08,5.829455
41,43,1960,,,,190475,,,.0000306,.0000306,5.25e-06,5.829455
42,44,1960,,,,212247,,,.0000275,.0000275,4.71e-06,5.829455
43,45,1960,,,,1334044,2.458e+09,1823.761,4.37e-06,4.37e-06,7.50e-07,5.829455
44,46,1960,,,,7141130,,,8.16e-07,8.16e-07,1.40e-07,5.829455
45,47,1960,,,,7867,,,.000741,.000741,.0001271,5.829455
46,48,1960,,,,572929,,,.0000102,.0000102,1.75e-06,5.829455
47,49,1960,,,,9602006,,,6.07e-07,6.07e-07,1.04e-07,5.829455
48,50,1960,,,,72814900,,,8.01e-08,8.01e-08,1.37e-08,5.829455
49,51,1960,,,,83636,,,.0000697,.0000697,.000012,5.829455
50,52,1960,,,,60016,,,.0000971,.0000971,.0000167,5.829455
51,53,1960,,,,4579603,7.889e+10,,1.27e-06,1.27e-06,2.18e-07,5.829455
52,54,1960,,,,3311788,3.594e+09,1072.727,1.76e-06,1.76e-06,3.02e-07,5.829455
53,55,1960,,,,11277757,1.991e+10,1894.421,5.17e-07,5.17e-07,8.87e-08,5.829455
54,56,1960,,,,8.973e+08,1.560e+11,,6.50e-09,6.50e-09,1.11e-09,5.829455
